id,quarter,code,title,month,category,tags,status,mainContent
1,Q1,SOP-01,抗菌药品医嘱在临床应用V2.0,3月,临床,"抗菌,药品，V2.0",1 ,门诊、急诊、住院业务流程中，抗菌药品医嘱的应用，按业务分类及对应场景进行整理，包括三级管理、围手术期、联合用药业务下场景模式，及对应配置方案及系统实现效果
2,Q1,SOP-05,双通道药品业务流程,3月,临床,"药品,医保,双通道",1 ,1、双通道药品的政策背景；2、双通道处方流转管理系统的功能介绍；3、基于双通道处方流转系统的三种实现模式：虚拟药房模式、共用现药房模式、独立开方模式；4、三种模式的优劣势与推荐
3,Q1,SOP-34,GCP患者门诊住院业务流程,3月,临床,"GCP,管理,特殊,患服",1 ,1、GCP模式分类（采购卫宁GCP、采购三方GCP、无GCP情况）；2、各类模式在5X和60系上的对比以及实现流程和效果；3、相关GCP项目管理和配置
4,Q1,SOP-66,优惠规则应用方案,3月,HIS,"医保,优惠,费用,患服",1 ,加强内部和客户对医院减免、记账类需求的理解，方便在业务调研过程中解析其需求，通过案例分析和优惠规则特性快速推荐适用的WiNEX优惠规则。
5,Q1,SOP-06,自理药业务流程应用,3月,临床,"药品,自理",1 ,1、自理药业务模式介绍；2、自理药业务模式使用场景；3、自理药业务方案比较；4、自理药定义态配置
6,Q1,SOP-07,自备药管理及业务应用,3月,临床,"药品,自备",1 ,1、自备药应用分类；2、院外自备药应用模式；3、自备药业务方案比较；4、自备药应用实现效果
7,Q1,SOP-10,基数药管理模式,3月,临床,"药品,基数药",1 ,1、基数药的应用背景和场景；2、实现基数药的模式（收费项目模式、常规药品模式、基数药分方模式）3、基数药分方模式在门诊临床科室、住院病区、医技科室、手术室的应用流程；
8,Q1,SOP-18,药品异常情况下临床业务适配应用,3月,临床,"药品,基础数据",1 ,基于门诊、住院业务中，根据不同的药品管理模式，药品停用停发停开，药房停用停发停开无库存下业务，及临床业务系统的影响及处理
9,Q1,SOP-19,收费项目增调停后业务适配方案,3月,HIS,"临床,费用,基础数据,患服",1 ,提供收费项目调整方案，包括新增、调价、停用等，指导字典维护举措和业务系统应用流程，优化开医嘱与计费流程，简化数据维护，减少医患纠纷，降低漏费风险。
10,Q1,SOP-36,日间化疗SOP,3月,医技,"日间,临床,管理",1 ,1、化疗业务应用模式；2、日间化疗应用模式；3、日间化疗应用方案推荐
11,Q1,SOP-75,过敏与皮试业务流程V2.0,3月,临床,"过敏,皮试,V2.0",1 ,补充V1版本内容，1、皮试模式分类（①线下皮试模式；②先皮试后治疗；③皮试联动治疗；④皮试作为治疗项目）；2、各模式分类的对比及实现效果
12,Q2,SOP-14,不拆零药品管理模式及应用,4月,临床,"药品,执行",1 ,"1、不可拆零药品管理概述（包括定义、重要性等）
2、药品场景分类包括：口服类、注射类、外用类
3、推荐发放模式：临时领药+长期执行模式、用自理药加续领（分口服、注射、外用）、累计领药模式、按申请日均摊模式"
13,Q2,SOP-67,住院患者权限管控,4月,医管,"患服,权限,管理",1 ,"1、业务介绍：住院过程中患者权限管控业务，包括普通患者-通科、医疗组管理，保密患者、借床患者、跨科治疗患者（不用详细介绍每个跨科业务）、会诊患者、转科转区患者、病案封存（依赖中天病案系统）
2、系统功能：目前各个业务系统实现的功能及配置方案，诊断审签、值班授权、跨科治疗患者授权、会诊权限、病历文书权限、护理文书权限、转科转区权限管控、病案封存状态临床权限管控、病案借阅、保密患者权限、患者360"
14,Q2,SOP-94,门诊血透流程及应用,4月,临床,"流程,血透",1 ,阐述门诊血透业务流程，从患者挂号、就诊、处方、缴费及具体到血透科室进行治疗。重点阐述患者在HIS系统的业务流程以及和三方血透系统对接的数据流图。主要有三种模式推荐。
15,Q2,SOP-29,术中用药模式及应用,4月,临床,"手术,药品",1 ,手术过程中用到的药品，包含带入手术室的和直接开立后发药手术室；术中紧急开立、术中精麻类（简略）；术中药品用药模式，药品范围包括 术前开术中用、术中手术室的溶媒、精麻类药品；覆盖的业务范围包含 带入手术室药品的PDA执行、术中精麻类药品开立模式、术中非精麻类（溶媒）开立方式、术中药品医嘱的核对、PDA执行、发药、退药、计费
16,Q2,SOP-74,慢特病流程,4月,HIS,"医保,费用,慢特病",1 ,业务覆盖：患者挂号、医生开处方绑定病种、处方绑定诊断、收费，覆盖5X和WiNEX两种产品形态
17,Q2,SOP-78,检查申请单打折方案,4月,医技,"检查,申请单,打折,医嘱",1 ,"基于政策和医院需求分类解读检查和放射类申请单，阐述计费策略和定价策略方案区别，给出对应的配置方案及计算逻辑
1.物价目录要求：针对部位、检查项目和检查项目分类下发加收型、替换型的收费项目；两项目同时做，只收一个收费项目、收最高价；
2.院内计算需求：按医嘱、按申请单-省中、按日累计-丽水；
3.物价和医院要求不一致：价表部位范围太大，医院怕亏损，自行分类。"
18,Q2,SOP-91,医技病理申请单流程及业务应用V2.0,4月,医技,"病理,申请单,闭环,医嘱,V2.0",1 ,"1、对接卫宁医技/三方公司病理申请单2种模式；
2、涉及申请单流程，附病理整体流程图。"
19,Q2,SOP-96,无纸化归档（病案）建设方案及业务应用推荐,4月,医管,"病案,无纸化,临床,",1 ,梳理无纸化归档中文件采集的几种模式，常规推荐模式 卫宁的无纸化归档系统，在项目实际落地时有非卫宁的无纸化系统，诸如重儿、丽水、北大都是三方的无纸化系统，从业务角度给出无纸化文档采集的具体方式；在无纸化归档系统以中天病案为例覆盖（无纸化归档、无纸化借阅、无纸化借阅、患者无纸化打印）
20,Q2,SOP-09,精麻毒管理模式,4月,临床,"药品,管理,精麻,医嘱",0 ,"覆盖门诊、急诊、住院、手术室、医技科室的精麻毒放的开立、发药、领药管理方式+精麻毒放登记
重点需要突出  
① 门急诊住院开立时领药人管理（患者、护士、自动带入）、处方打印（内容、长期精二类打印领药数量、麻醉类药品余量管理）
② 手术室 公司手麻产品处理方式，非公司手麻
③ 医技科室 重点 无痛胃肠镜精麻类药品开立、计费、发药、领药、处方打印"
21,Q2,SOP-79,先诊疗后付费流程,4月,HIS,"费用,流程,医保,先诊疗",1 ,"基于“先诊疗后付费”政策，结合公立、民营医院后付费需求，阐述先诊疗后付费方案区别，并针对不同场景给出适合的建设方案。
1、绿色通道，涵盖公立和民营医院。
2、特殊场景的先诊疗后付费，如指定科室、医务人员。
3、高端民营医院的先诊疗后付费。"
22,Q2,SOP-92,医技输血申请单流程及业务应用V2.0,5月,医技,"闭环,用血,申请单,医嘱,V2.0",0 ,"1、两种推荐模式：一是公司医技的输血申请单；二是三方公司的输血申请单
2、只涉及申请单流程，术中场景不在此方案，最后可简单附上输血整体流程图，不展开具体的流程"
23,Q2,SOP-03,抗肿瘤药品医嘱在临床应用,5月,临床,"药品,医嘱,肿瘤,规范",0 ,1、抗肿瘤药物的分级管理；2、抗肿瘤药物的权限管控机制；3、临床业务中的开立与审批管理
24,Q2,SOP-27,术中病理业务流程及应用,5月,临床,"手术,医嘱,病理,闭环",0 ,1、范围：全麻类手术；2、术前开立病理申请；3、术中开立病理申请；
25,Q2,SOP-70,住院患者欠费管理V2.0,5月,HIS,"患服,费用,管理,欠费,V2.0",0 ,患者欠费时，控制医嘱申请的逻辑（如按停药线、冻结、绿通、低保等特殊逻辑）；his冻结及停药线管理，病区护士站也有对应的管理（按角色来控制）1.如何实现对医保患者和自费患者停药线分别管控；2.怎么按照病区或者科室维度批量维护停药线；3.报警线的应用；4.特殊患者和其他流程的区别
